City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Zhanaozen,KZ,78.28,Scattered clouds,43.3,52.8,K.korabay 28A
204,Pathein,MM,85.95,Overcast clouds,16.7833,94.7333,Pathein Hotel
205,Itamaraca,BR,75.25,Few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
206,Riyadh,SA,80.74,Clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
208,Batu,ID,79.36,Light rain,-7.87,112.5283,Pondok Jatim Park Hotel & Café
210,Mareeba,AU,79.48,Scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
217,Ugoofaaru,MV,83.07,Broken clouds,5.6667,73.0,Ungoofaaru Inn
226,Kudahuvadhoo,MV,83.35,Overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
228,Palmas Bellas,PA,78.26,Overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
233,Sakakah,SA,83.77,Clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
235,Lorengau,PG,85.57,Overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
241,Mubi,NG,75.27,Broken clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
242,Nishihara,JP,78.46,Heavy intensity shower rain,26.1842,127.7558,Minshuku Agaihama
243,Wiang Sa,TH,86.29,Scattered clouds,8.6359,99.3666,ชำนาญอินน์
244,Natal,BR,75.42,Scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
246,Sinnamary,GF,76.33,Overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
249,Broome,US,75.0,Overcast clouds,42.2506,-75.833,Chenango Valley State Park
258,Abnub,EG,79.02,Clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
260,Qingyuan,CN,80.58,Overcast clouds,23.7,113.0333,Guojin Commercial Hotel
265,Hutchinson,US,84.72,Clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
267,Ruidoso,US,77.76,Clear sky,33.3317,-105.67299999999999,Inn of the Mountain Gods
268,Cairns,AU,84.11,Broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
269,Padang,ID,82.45,Broken clouds,-0.9492,100.3543,Mercure Padang
272,Camargo,MX,86.04,Scattered clouds,27.6667,-105.1667,Hotel Santa Fe
275,Garowe,SO,75.78,Broken clouds,8.4054,48.4845,Curubo Hotel
280,Ipojuca,BR,75.11,Few clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
281,Vung Tau,VN,84.72,Broken clouds,10.345999999999998,107.0843,Seaside Resort
285,Matara,LK,80.96,Moderate rain,5.9485,80.5353,Amaloh Boutique Resort
287,Makat,KZ,79.68,Broken clouds,47.6469,53.3463,Umit
295,Wenling,CN,78.12,Overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
297,Port Keats,AU,88.14,Broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
300,Nabire,ID,85.21,Broken clouds,-3.3667,135.4833,Hotel Nusantara I
305,Fare,PF,80.2,Clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
306,Jiwani,PK,82.69,Scattered clouds,25.05,61.7417,Hamza hotel jiwani
310,Tabuk,PH,85.48,Overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
313,Cockburn Town,TC,81.3,Few clouds,21.4612,-71.1419,Osprey Beach Hotel
314,Mount Isa,AU,76.77,Broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
317,Luganville,VU,80.31,Heavy intensity rain,-15.5333,167.1667,The Espiritu Hotel
319,Kavieng,PG,84.81,Broken clouds,-2.5744,150.7967,Nusa Island Retreat
320,Shingu,JP,77.14,Overcast clouds,33.7333,135.9833,Shingu UI Hotel
324,Coahuayana,MX,78.91,Overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
327,Fajardo,PR,81.99,Overcast clouds,18.3258,-65.6524,El Conquistador Resort
331,Finschhafen,PG,85.39,Scattered clouds,-6.6024,147.8681,Cossam Guest House
332,Barguzin,RU,79.57,Scattered clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
335,Fukue,JP,79.16,Scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
343,Laguna,US,87.31,Clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
345,Tabanan,ID,82.8,Broken clouds,-8.5413,115.1252,Puri Anom Homestay
346,Kawalu,ID,84.16,Overcast clouds,-7.3817,108.2082,West Jontor
350,Kashi,CN,79.81,Few clouds,39.4547,75.9797,帕米尔青年旅舍
358,Ternate,ID,84.42,Overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
363,Kokopo,PG,85.28,Scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
365,Kismayo,SO,77.5,Broken clouds,-0.3582,42.5454,Agan-Hotel
367,Farmington,US,81.16,Clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
368,Bombay,IN,78.78,Drizzle,19.0144,72.8479,Hotel Avon Ruby-Dadar
369,Samarai,PG,82.15,Heavy intensity rain,-10.6167,150.6667,Nuli Sapi
377,San Patricio,US,84.09,Overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
383,Taungdwingyi,MM,85.84,Overcast clouds,20.0167,95.55,NayNaing MobileService
384,Bandarbeyla,SO,79.68,Overcast clouds,9.4942,50.8122,JABIR HOTEL
386,Nouakchott,MR,75.13,Scattered clouds,18.0858,-15.9785,HOTEL IMAN
