City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
76,Salinopolis,BR,-0.6136,-47.3561,78.26,80,76,11.34,Broken clouds
77,Rikitea,PF,-23.1203,-134.9692,72.86,67,100,8.3,Overcast clouds
78,Hamilton,US,39.1834,-84.5333,84.99,73,0,9.22,Clear sky
79,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,72,17.09,Light rain
80,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,88,77,8.55,Broken clouds
81,Bredasdorp,ZA,-34.5322,20.0403,44.44,82,21,4.72,Few clouds
82,Atuona,PF,-9.8,-139.0333,77.86,70,77,19.19,Broken clouds
83,Chinsali,ZM,-10.5414,32.0816,55.4,81,3,4.81,Clear sky
84,Saint George,US,37.1041,-113.5841,95.59,6,0,3.44,Clear sky
85,Lata,PT,40.1629,-8.3327,60.55,98,50,2.59,Scattered clouds
86,Saskylakh,RU,71.9167,114.0833,54.07,33,11,6.31,Few clouds
87,Alakurtti,RU,66.9672,30.3491,45.27,95,100,13.91,Light rain
88,Vila Velha,BR,-20.3297,-40.2925,66.15,91,100,3.44,Overcast clouds
89,Carnarvon,AU,-24.8667,113.6333,72.95,78,92,2.91,Overcast clouds
90,New Norfolk,AU,-42.7826,147.0587,51.93,71,60,0.89,Broken clouds
91,Rantauprapat,ID,2.1,99.8333,74.71,98,100,1.88,Overcast clouds
92,Kahului,US,20.8947,-156.47,84.22,72,40,25.32,Scattered clouds
93,Jurm,AF,36.8648,70.8342,75.65,32,26,3.67,Scattered clouds
94,Chanika,TZ,-5.4167,38.0167,63.0,95,78,1.45,Broken clouds
95,Yellowknife,CA,62.456,-114.3525,59.52,77,75,5.75,Light intensity shower rain
96,Port Alfred,ZA,-33.5906,26.891,48.18,75,38,5.01,Scattered clouds
97,Hithadhoo,MV,-0.6,73.0833,81.64,73,96,3.87,Overcast clouds
98,Hovd,MN,48.0056,91.6419,75.72,25,59,4.14,Broken clouds
99,Chabahar,IR,25.2919,60.643,83.07,81,7,8.3,Clear sky
100,Kavaratti,IN,10.5669,72.642,83.3,75,100,14.88,Moderate rain
101,Guipavas,FR,48.4352,-4.3972,53.65,99,100,5.75,Fog
102,Athabasca,CA,54.7169,-113.2854,64.81,67,100,8.05,Overcast clouds
103,Amberley,US,39.2048,-84.428,84.7,72,0,4.61,Clear sky
104,Riachao Das Neves,BR,-11.7461,-44.91,69.96,59,51,0.63,Broken clouds
105,Akureyri,IS,65.6835,-18.0878,48.13,71,75,12.66,Broken clouds
106,Urumqi,CN,43.801,87.6005,76.15,44,0,8.95,Clear sky
107,Vaini,TO,-21.2,-175.2,78.96,78,75,6.91,Broken clouds
108,Thompson,CA,55.7435,-97.8558,66.36,52,75,2.3,Broken clouds
109,Noumea,NC,-22.2763,166.4572,82.38,99,96,10.71,Overcast clouds
110,Guanica,PR,17.9716,-66.908,82.98,82,100,9.31,Overcast clouds
111,Hualmay,PE,-11.0964,-77.6139,60.89,81,7,13.65,Clear sky
112,Yelizovo,RU,53.1873,158.3805,50.14,81,75,17.9,Broken clouds
113,Zhangjiakou,CN,40.81,114.8794,78.8,45,71,7.49,Broken clouds
114,Kaspiysk,RU,42.8816,47.6392,75.38,64,98,22.37,Overcast clouds
115,Sosnogorsk,RU,63.6023,53.8817,62.33,56,95,8.25,Overcast clouds
116,Husavik,IS,66.0449,-17.3389,46.67,94,95,1.74,Overcast clouds
117,Sechura,PE,-5.5569,-80.8222,63.39,79,2,14.43,Clear sky
118,Suicheng,CN,33.8963,117.9331,95.54,36,5,7.27,Clear sky
119,Saint-Augustin,CA,51.226,-58.6502,49.19,83,14,5.41,Few clouds
120,Whitehorse,CA,60.7161,-135.0538,64.02,44,40,1.99,Scattered clouds
121,Cam Ranh,VN,11.9214,109.1591,87.76,62,20,6.91,Few clouds
122,Ust-Omchug,RU,61.15,149.6333,53.01,67,100,4.5,Overcast clouds
123,Jimalalud,PH,9.9797,123.1999,85.86,69,32,8.77,Scattered clouds
124,Okhotsk,RU,59.3833,143.3,49.17,80,94,6.33,Overcast clouds
125,Kodiak,US,57.79,-152.4072,54.91,76,100,4.61,Overcast clouds
126,Baykit,RU,61.67,96.37,68.5,78,100,4.34,Light rain
